1,3,0
2,0,15.232
3,3,27.136
4,1,34.048
5,0,35.328
6,0,43.904
7,1,45.952
8,0,51.968
9,3,75.264
10,0,82.432
11,1,92.928
12,0,105.86
13,3,116.48
14,2,122.24
15,1,133.5
16,2,135.81
17,1,139.26
18,2,141.82
19,1,145.02
20,2,146.43
21,3,147.58
22,2,149.38
23,1,153.09
24,2,163.46
25,1,182.14
26,2,183.68
27,0,185.73
28,2,203.26
29,1,205.57
30,2,214.66
31,0,239.36
32,2,243.97
33,1,245.89
34,0,248.58
35,1,251.78
36,0,253.95
37,1,260.22
38,2,260.86
39,1,262.91
40,2,265.34
41,1,268.16
42,0,270.85
43,1,279.42
44,2,281.47
45,1,282.37
46,0,285.31
47,2,289.41
48,1,291.97
49,2,293.5
50,3,295.42
51,0,302.59
52,1,317.44
53,0,321.41
54,1,335.36
55,3,336.26
56,0,342.66
57,1,352.77
58,0,366.08
59,3,384.9
