1,0,0
2,2,4.8639
3,3,13.312
4,2,15.488
5,3,22.912
6,2,25.856
7,3,42.112
8,0,47.616
9,3,49.28
10,2,61.056
11,3,67.072
12,2,73.472
13,1,77.312
14,3,79.872
15,1,81.536
16,2,83.328
17,1,90.88
18,0,92.288
19,1,93.184
20,2,98.048
21,0,102.66
22,1,110.34
23,2,149.5
24,3,152.83
25,2,185.09
26,1,186.11
27,2,188.29
28,3,193.41
29,1,214.14
30,2,216.96
31,1,224.13
32,0,228.35
33,1,231.55
34,2,244.86
35,1,250.62
36,0,251.78
37,1,259.07
38,2,288.51
39,1,294.14
40,2,316.03
41,3,317.18
42,2,333.7
43,1,348.03
44,2,348.93
45,1,350.08
46,2,351.1
47,1,351.87
48,0,355.71
49,1,359.3
50,3,393.6
51,2,395.52
52,1,397.44
53,0,436.74
54,2,439.68
55,3,445.18
56,2,450.94
57,1,451.58
58,3,460.16
59,1,462.46
60,3,464.64
61,2,466.3
62,1,468.1
63,0,472.45
64,2,476.29
65,1,480.51
66,3,520.06
67,2,522.5
68,1,526.98
69,2,537.6
70,1,539.52
71,2,552.32
72,1,553.09
73,2,562.82
74,1,566.27
75,2,574.34
76,1,576.9
77,2,620.16
78,3,623.1
79,1,633.47
80,3,654.85
81,2,656.77
82,1,658.69
83,3,669.31
84,2,674.82
85,1,677.25
86,2,687.49
87,1,691.97
88,2,706.18
89,1,709.5
90,2,713.98
91,0,718.59
92,3,722.43
93,2,726.53
94,3,727.81
95,2,762.62
96,1,764.8
97,0,768.9
98,2,770.82
99,0,776.45
